step,klcoef,lr,rollout_time,horizon,speed,speed_rl,speed_rl_std,speed_human,inflow,outflow,inflow_hourly,outflow_hourly,collisions,collisions_human,fuel,backlog_step,n_total_veh_step,flow_horizontal,flow_vertical,raw_reward_mean,raw_reward_sum,reward_mean,reward_sum,n_veh_step_mean,n_veh_step_sum,n_veh_unique,policy_loss,kl,entropy,gd_time,total_time
23,0,0.001,8.90869,2000,2.85036,2.49845,2.54527,2.92232,474,441,1706.4,1587.6,2,2,1438.74,50.2135,87.644,700,700,0.2155,431,0.00767416,15.3483,6.353,12706,72,-0.903019,5.04675e-10,0.977438,0.0495059,224.44
24,0,0.001,8.73813,2000,2.87149,2.53051,2.60752,2.94005,471,436,1695.6,1569.6,0,0,1451.48,49.385,86.739,700,700,0.218,436,0.00792331,15.8466,6.25,12500,70,-0.827189,5.70547e-11,0.969217,0.0502541,233.434
25,0,0.001,8.25545,2000,3.32126,2.99897,3.03769,3.38483,504,474,1814.4,1706.4,0,0,1455.32,31.652,66.281,700,700,0.237,474,0.0113656,22.7312,5.7025,11405,77,-1.0804,1.99798e-10,0.912791,0.0494351,241.946
26,0,0.001,7.78981,2000,3.49981,3.05055,2.93181,3.59217,499,469,1796.4,1688.4,2,2,1465.33,34.3105,66.9735,700,700,0.2295,459,0.00961493,19.2299,5.5665,11133,76,-0.918324,1.47311e-09,0.95577,0.0490639,249.991
27,0,0.001,7.74603,2000,3.5428,3.1684,3.15929,3.61669,513,473,1846.8,1702.8,10,7,1446.62,31.2175,64.019,700,700,0.2115,423,0.0057744,11.5488,5.4035,10807,78,-0.953955,1.27562e-09,0.905233,0.047682,257.985
28,0,0.001,7.81984,2000,3.64181,3.34931,3.26097,3.6979,530,488,1908,1756.8,10,8,1337.4,17.235,50.2125,700,700,0.219,438,0.00704847,14.0969,5.303,10606,80,-0.963621,9.75165e-10,0.874994,0.0449169,266.06
29,0,0.001,7.2674,2000,4.10096,3.67912,3.45104,4.18405,527,502,1897.2,1807.2,8,6,1849.12,22.593,52.0435,700,700,0.231,462,0.00917638,18.3528,4.8455,9691,81,-1.14564,-2.64714e-10,0.916542,0.0458093,273.574
30,0,0.001,6.72589,2000,4.47144,4.03819,3.82557,4.55573,541,489,1947.6,1760.4,26,20,1452.97,16.377,43.618,700,700,0.1795,359,-0.00124268,-2.48536,4.4345,8869,81,-0.0122829,-1.02133e-10,0.834321,0.043668,280.555
31,0,0.001,6.79257,2000,4.35017,3.91406,3.70381,4.43725,533,494,1918.8,1778.4,22,20,1714.31,19.27,46.9795,700,700,0.192,384,0.00109516,2.19033,4.611,9222,82,-0.575766,7.17619e-10,0.84696,0.0436029,287.587
32,0,0.001,8.12782,2000,3.29072,2.96369,2.97159,3.35495,499,464,1796.4,1670.4,6,5,1512.12,33.29,67.666,700,700,0.217,434,0.00586232,11.7246,5.6415,11283,76,-0.75369,-1.07701e-10,0.935693,0.0492861,295.971
33,0,0.001,8.47351,2000,3.19936,2.92551,2.96888,3.25239,509,478,1832.4,1720.8,0,0,1455.23,28.831,65.2125,700,700,0.239,478,0.00989824,19.7965,5.899,11798,77,-0.926798,9.34196e-10,0.938247,0.050077,304.708
34,0,0.001,7.48741,2000,3.94068,3.53815,3.33908,4.02009,525,491,1890,1767.6,10,8,1545.23,25.056,55.3635,700,700,0.2205,441,0.00617703,12.3541,4.992,9984,81,-0.800349,5.36224e-10,0.89029,0.0436082,312.441
35,0,0.001,6.49467,2000,4.59816,4.02626,3.69393,4.71238,535,484,1926,1742.4,32,25,1652.2,16.6465,42.7535,700,700,0.162,324,-0.00521616,-10.4323,4.3445,8689,82,-0.203385,1.62803e-10,0.874883,0.044034,319.181
36,0,0.001,6.4615,2000,4.8291,4.31668,3.80373,4.92941,550,503,1980,1810.8,28,23,1658.19,9.4555,35.0985,700,700,0.1815,363,-0.00125069,-2.50138,4.1955,8391,84,-0.128299,-1.40355e-10,0.848818,0.045975,325.883
37,0,0.001,6.70796,2000,4.48752,4.01017,3.647,4.58108,538,503,1936.8,1810.8,14,9,1543.65,14.7945,41.96,700,700,0.2165,433,0.00491823,9.83645,4.451,8902,83,-0.594431,-2.66305e-10,0.833753,0.044801,332.839
38,0,0.001,7.89069,2000,3.58898,3.25313,3.23399,3.65496,517,481,1861.2,1731.6,8,7,1521.45,26.645,59.5675,700,700,0.2205,441,0.00553814,11.0763,5.403,10806,79,-0.714383,-6.27925e-10,0.890067,0.0462329,340.986
39,0,0.001,7.90689,2000,3.57022,3.30077,3.21887,3.62229,519,485,1868.4,1746,6,6,1497.34,27.2695,60.382,700,700,0.2275,455,0.00663478,13.2696,5.36,10720,80,-0.930747,-8.61679e-10,0.871565,0.0441701,349.152
40,0,0.001,7.42967,2000,3.94965,3.6232,3.42313,4.0132,538,504,1936.8,1814.4,6,5,1386.17,17.62,48.6385,700,700,0.237,474,0.00818006,16.3601,5.0525,10105,83,-0.960694,-1.33428e-09,0.850397,0.0484731,356.85
41,0,0.001,7.36027,2000,3.80343,3.35962,3.22455,3.89246,521,478,1875.6,1720.8,14,10,1398.18,25.019,55.797,700,700,0.204,408,0.00212193,4.24385,5.1405,10281,80,-0.234214,1.44666e-09,0.893914,0.0451701,364.46
42,0,0.001,8.04015,2000,3.6272,3.30436,3.22631,3.68958,530,498,1908,1792.8,2,2,1409.84,25.932,59.1055,700,700,0.244,488,0.00922053,18.4411,5.369,10738,80,-1.02469,-1.31255e-11,0.886402,0.044867,372.76
43,0,0.001,7.51068,2000,3.89775,3.54554,3.39379,3.96612,529,507,1904.4,1825.2,2,1,1679.68,23.5365,54.7345,700,700,0.2485,497,0.00988454,19.7691,5.071,10142,82,-1.01277,-3.24191e-11,0.871104,0.0470569,380.521
44,0,0.001,7.79008,2000,3.61627,3.36668,3.31153,3.66401,524,489,1886.4,1760.4,8,7,1425.13,21.751,54.704,700,700,0.2245,449,0.00540468,10.8094,5.289,10578,81,-0.644582,5.01776e-10,0.854739,0.0448058,388.563
45,0,0.001,8.15177,2000,3.52825,3.3087,3.29007,3.5697,533,503,1918.8,1810.8,4,4,1526.73,16.279,50.9055,700,700,0.2415,483,0.00839057,16.7811,5.4975,10995,83,-0.969495,2.23748e-10,0.825973,0.0480793,396.976
46,0,0.001,7.47448,2000,3.89415,3.55555,3.3654,3.95964,537,500,1933.2,1800,10,8,1455.1,17.307,48.5835,700,700,0.225,450,0.00523026,10.4605,5.067,10134,83,-0.594697,-3.17738e-10,0.85472,0.0469131,404.703
47,0,0.001,8.78041,2000,3.2083,2.98068,3.03006,3.25167,522,485,1879.2,1746,4,3,1421.31,20.4865,57.457,700,700,0.2325,465,0.00651082,13.0216,5.9145,11829,79,-0.818396,3.99138e-10,0.883418,0.0487218,413.743
48,0,0.001,8.18839,2000,3.41735,3.13784,3.14254,3.47086,525,480,1890,1728,12,9,1385.11,20.296,54.7665,700,700,0.21,420,0.00222238,4.44476,5.537,11074,82,-0.671474,3.28776e-10,0.873934,0.0491769,422.192
49,0,0.001,7.74375,2000,3.70819,3.3883,3.33444,3.77056,528,495,1900.8,1782,4,3,1420.75,20.8065,53.1545,700,700,0.2375,475,0.00720656,14.4131,5.276,10552,80,-0.868903,-1.62086e-09,0.884079,0.049073,430.198
